Project,CVE,File,Function,Patch commit,Ex-patch commit,Dataset Type,Bug start,Bug end,Patch start,Patch end
openssl,CVE-2018-0732,crypto/dh/dh_key.c,generate_key,https://github.com/openssl/openssl/commit/ea7abeeabf92b7aca160bdd0208636d4da69f4f4,https://github.com/openssl/openssl/commit/9a236d5a7158d38b933656cacc31dfd4ff4fcc08,D,1.1.0,1.1.0h,1.1.0i,1.1.0l
openssl,CVE-2018-0737,crypto/rsa/rsa_gen.c,rsa_builtin_keygen,https://github.com/openssl/openssl/commit/349a41da1ad88ad87825414752a8ff5fdd6a6c3f,https://github.com/openssl/openssl/commit/d1a64149b061172d120559aea289498ec680b497,D,1.0.2,1.0.2o,1.0.2p,1.0.2u
openssl,CVE-2019-1543,crypto/evp/e_chacha20_poly1305.c,chacha20_poly1305_ctrl,https://github.com/openssl/openssl/commit/2a3d0ee9d59156c48973592331404471aca886d6,https://github.com/openssl/openssl/commit/18e1e302452e6dea4500b6f981cee7e151294dea,C,1.1.1,1.1.1b,1.1.1c,1.1.1w
openssl,CVE-2020-1971,crypto/x509/v3_genn.c,GENERAL_NAME_cmp,https://github.com/openssl/openssl/commit/b33c48b75aaf33c93aeda42d7138616b9e6a64cb,https://github.com/openssl/openssl/commit/198b11683568452282bd48828fcf60d4835bf327,C,1.1.1,1.1.1h,1.1.1i,1.1.1w
openssl,CVE-2022-0778,crypto/bn/bn_sqrt.c,BN_mod_sqrt,https://github.com/openssl/openssl/commit/3118eb64934499d93db3230748a452351d1d9a65,https://github.com/openssl/openssl/commit/84a9f7e0eae81245da28d552d40e197d579f3a9b,C,1.1.1,1.1.1m,1.1.1n,1.1.1w
lou_trace,CVE-2018-11577,liblouis/compileTranslationTable.c,compilePassOpcode,https://github.com/liblouis/liblouis/commit/7e135b9313ad06218dfcf9ed63070edede7745a1,https://github.com/liblouis/liblouis/commit/4417bad83df4481ed58419b28c5c91b9649e2a86,D,v3.3.0,v3.5.0,v3.6.0,v3.37.0
lou_trace,CVE-2022-26981,liblouis/compileTranslationTable.c,compilePassOpcode,https://github.com/liblouis/liblouis/commit/73751be7a5617bfff4a735ae095203a2d3ec50ef,https://github.com/liblouis/liblouis/commit/5f84b4284964af0ec5f6c7c3d7c2850f5f2de06a,D,v3.3.0,v3.21.0,v3.22.0,v3.37.0
lou_trace,CVE-2023-26769,liblouis/compileTranslationTable.c,resolveSubtable,https://github.com/liblouis/liblouis/commit/b2e2995d1600e1d3b2131d4a2c5a57927d795608,https://github.com/liblouis/liblouis/commit/21a2ee76d5de1ab3ce789ef18106343c8e65a175,D,v3.3.0,v3.24.0,v3.25.0,v3.37.0
libtiff,CVE-2018-17000,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagTransferfunction,https://gitlab.com/libtiff/libtiff/-/commit/802d3cbf3043be5dce5317e140ccb1c17a6a2d39,https://gitlab.com/libtiff/libtiff/-/commit/a0e273fdca741b8805e19deeb8019fa42c4e64ba,D,v4.0.8,v4.0.10,v4.1.0,v4.7.0
libxml2,CVE-2017-9047,valid.c,xmlDumpElementContent,https://gitlab.gnome.org/GNOME/libxml2/-/commit/94691dc884d1a8ada39f073408b4bb92fe7fe882,https://gitlab.gnome.org/GNOME/libxml2/-/commit/362b32293487ece0dc76b9df29c59e25c0712432,D,v2.9.0,v2.9.4,v2.9.5,v2.9.14
